Region,Tower_ID,Date,Call_Drops,Signal_Strength,Congestion_Level,Handoff_Failure,Notes
Guwahati,T0165,2024-04-19,9,-96,Low,4,Low traffic
Vasai-Virar,T1374,2024-10-03,2,-70,Low,0,Low traffic
Solapur,T0179,2023-09-06,18,-104,Medium,4,Handoff instability
Gorakhpur,T0299,2025-12-03,28,-92,High,10,Backhaul issue
Vadodara,T0804,2025-01-25,8,-107,Low,0,Normal operation
Jammu,T0826,2024-01-02,22,-91,High,6,Moderate congestion
Ujjain,T0383,2023-07-18,6,-96,Medium,0,Routine monitoring
Rajkot,T0442,2025-10-28,3,-109,Low,0,Stable network
Bhopal,T0688,2025-02-22,14,-101,Medium,4,Moderate congestion
Jhansi,T0947,2024-07-07,11,-68,Low,8,Handoff instability
Bengaluru,T0639,2023-07-14,19,-73,High,7,Weather impact
Ghaziabad,T1317,2025-06-18,6,-84,Low,2,Routine monitoring
Varanasi,T0491,2023-03-28,6,-69,Low,4,Low traffic
Ahmedabad,T0700,2023-12-16,0,-62,Low,1,Routine monitoring
Navi Mumbai,T0285,2023-03-15,0,-65,Low,0,Low traffic
Guwahati,T1318,2025-11-11,9,-74,Medium,1,Routine monitoring
Bhiwandi,T0770,2023-11-11,28,-112,High,10,Backhaul issue
Kolkata,T1053,2023-03-23,1,-72,Low,0,Stable network
Prayagraj,T1159,2024-07-26,23,-100,High,3,Moderate congestion
Kalyan-Dombivli,T0634,2023-04-05,19,-105,High,2,Temporary interference
Belgaum,T0414,2025-08-27,1,-60,Low,0,Low traffic
Bhavnagar,T0054,2025-10-02,11,-115,Low,2,Handoff instability
Gulbarga,T0441,2023-04-03,10,-68,Medium,3,Normal operation
Pune,T0897,2023-02-16,15,-84,High,2,Temporary interference
Vijayawada,T0794,2025-04-20,30,-107,High,8,Peak hour congestion
Gaya,T0607,2024-08-31,6,-86,Low,0,Routine monitoring
Akola,T1420,2025-06-22,0,-64,Low,0,Normal operation
Pimpri-Chinchwad,T0158,2023-01-24,13,-87,Medium,2,Handoff instability
Ambattur,T0666,2025-01-06,27,-112,High,7,Network optimization required
Vadodara,T1201,2025-12-13,15,-72,Medium,5,Temporary interference
Indore,T0979,2023-07-09,9,-90,Medium,1,Routine monitoring
Firozabad,T0912,2025-02-16,9,-90,Low,4,Stable network
Jalgaon,T1127,2024-03-10,21,-62,High,6,Handoff instability
Asansol,T0477,2024-02-12,8,-85,Low,6,Low traffic
Firozabad,T0090,2023-08-02,4,-88,Low,1,Normal operation
Nashik,T0193,2024-07-06,8,-90,Medium,0,Routine monitoring
Hubli-Dharwad,T0425,2025-05-28,4,-74,Medium,0,Stable network
Visakhapatnam,T1283,2024-09-20,14,-108,Medium,3,Weather impact
Tiruchirappalli,T1298,2024-12-01,10,-112,Low,3,Low traffic
Nashik,T0790,2025-03-14,3,-81,Low,0,Normal operation
Bhavnagar,T0852,2023-06-29,11,-108,Low,3,Temporary interference
Vadodara,T0723,2024-10-14,9,-98,Low,4,Stable network
Jodhpur,T0121,2025-05-08,8,-97,Low,3,Low traffic
Bhavnagar,T0596,2025-06-20,12,-75,Medium,3,Temporary interference
Cuttack,T0161,2025-07-29,13,-100,Medium,0,Weather impact
Gurugram,T0851,2024-09-19,8,-68,Medium,4,Stable network
Malegaon,T0941,2025-11-28,4,-71,Low,2,Routine monitoring
Aurangabad,T1376,2025-10-01,17,-64,High,2,Temporary interference
Gorakhpur,T0670,2024-11-27,32,-96,High,10,Network optimization required
Solapur,T0060,2024-07-14,4,-108,Low,0,Normal operation
Jaipur,T1005,2025-09-23,0,-63,Low,0,Routine monitoring
Vadodara,T0124,2023-03-20,4,-72,Low,0,Stable network
Bareilly,T1289,2023-08-03,3,-89,Low,0,Low traffic
Kochi,T1229,2025-04-20,10,-83,Medium,0,Stable network
Srinagar,T0398,2024-07-11,13,-69,High,2,Handoff instability
Malegaon,T1187,2024-03-17,13,-109,Medium,0,Weather impact
Guwahati,T1405,2023-02-11,7,-77,Low,4,Low traffic
Bhopal,T0209,2023-09-27,8,-83,Medium,2,Normal operation
Patna,T1226,2023-03-07,21,-102,High,5,Handoff instability
Kanpur,T0861,2025-11-18,26,-78,High,9,Backhaul issue
Bhavnagar,T0243,2024-09-18,3,-78,Low,0,Normal operation
Bhavnagar,T0280,2024-12-26,11,-72,Low,5,Temporary interference
Akola,T1200,2025-03-17,0,-65,Low,0,Normal operation
Kolhapur,T1493,2025-11-04,21,-92,High,5,Moderate congestion
Nashik,T0984,2023-10-02,27,-93,High,9,Weak signal area
Bhilai,T1020,2023-11-28,26,-102,High,6,Backhaul issue
Nagpur,T0322,2024-10-30,33,-103,High,10,Weak signal area
Mysuru,T0377,2025-12-03,12,-104,Medium,0,Moderate congestion
Faridabad,T1443,2025-09-28,1,-79,Low,0,Low traffic
