Region,Tower_ID,Date,Call_Drops,Signal_Strength,Congestion_Level,Handoff_Failure,Notes
Mumbai,T287,2025-06-24,53,-91 dBm,High,6%,Power fluctuation
Hyderabad,T640,2025-12-30,22,-95 dBm,High,4%,Normal operation
Delhi,T249,2025-01-29,73,-87 dBm,Medium,7%,Normal operation
Kolkata,T395,2025-12-22,146,-72 dBm,Low,11%,Heavy user load
Bangalore,T343,2025-12-18,66,-75 dBm,High,3%,Maintenance activity
Chennai,T638,2025-09-09,126,-94 dBm,Medium,13%,Peak hour traffic
Chennai,T922,2025-12-31,61,-84 dBm,High,6%,Power fluctuation
Delhi,T237,2025-08-21,29,-84 dBm,Medium,3%,Peak hour traffic
Mumbai,T952,2025-02-16,18,-71 dBm,High,9%,Normal operation
Hyderabad,T729,2025-05-11,52,-75 dBm,High,6%,Maintenance activity
Hyderabad,T531,2025-02-12,6,-85 dBm,Low,12%,Normal operation
Hyderabad,T655,2025-01-07,72,-90 dBm,High,18%,Normal operation
Mumbai,T558,2025-01-31,109,-85 dBm,Medium,6%,Normal operation
Bangalore,T606,2025-08-16,124,-84 dBm,High,5%,Backhaul congestion
Chennai,T885,2025-03-24,120,-83 dBm,Medium,19%,Maintenance activity
Kolkata,T564,2025-04-05,139,-87 dBm,Medium,5%,Maintenance activity
Delhi,T572,2025-02-20,7,-88 dBm,High,20%,Poor weather
Kolkata,T153,2025-12-16,84,-70 dBm,Medium,10%,Peak hour traffic
Chennai,T221,2025-10-24,90,-94 dBm,High,17%,Maintenance activity
Hyderabad,T435,2025-04-29,81,-76 dBm,Medium,1%,Normal operation
Chennai,T706,2025-10-20,28,-107 dBm,Low,17%,Heavy user load
Chennai,T479,2025-01-07,24,-79 dBm,Low,11%,Maintenance activity
Chennai,T624,2025-12-09,59,-97 dBm,Low,6%,Peak hour traffic
Mumbai,T856,2025-08-02,78,-71 dBm,Medium,15%,Poor weather
Bangalore,T215,2025-07-09,110,-93 dBm,High,16%,Poor weather
Mumbai,T268,2025-12-16,19,-105 dBm,Low,11%,Poor weather
Bangalore,T615,2025-04-14,21,-81 dBm,Medium,4%,Poor weather
